Charity Name,Website URL,Contact Email
Action for XP,http://www.actionforxp.org,support@actionforxp.org
Action In Mind,http://www.actioninmind.org.uk,info@actioninmind.org.uk
ActionAid,http://www.actionaid.org.uk/,supportercontact@actionaid.org
Active Communities (Scotland) Limited,http://www.activecommunities.co.uk,info@activecommunities.co.uk
Active Life Club (ALC),http://www.activelifeclub.org,info@activelifeclub.org
Active Stirling Limited,http://www.activestirling.org.uk,askus@activestirling.org.uk
ACVC,http://acvchub.org.uk,acvchub@outlook.com
Adaptive Riders Collective,http://www.adaptiveriderscollective.org,info@adaptiveriderscollective.or
Addictive Eaters Anonymous,http://www.aeauk.org,info@aeauk.org
Aden Community Allotment Association,http://adenplots.co.uk/,hello@adenplots.co.uk
ADHD Network Scotland,http://ADHDnetwork.scot,angela@adhdnetwork.scot
Adoption UK Charity,http://www.adoptionuk.org,onlineteam@adoptionuk.org.uk
Adventist Development and Relief Agency,http://www.adra.org.uk,info@adra.org.uk
Adventure Circus,http://www.adventurecircus.org,admin@adventurecircus.org
Advocating Together (Dundee),http://www.advocating-together.org.uk,enquiries@advocating-together.org.uk
Afghanaid,http://www.afghanaid.org.uk,info@afghanaid.org.uk
Africa on the Ball,http://www.africaontheball.org,605a7baede844d278b89dc95ae0a9123@sentry-next.wixpress.com
African Council Limited,http://www.africancouncil.org.uk,info@africancouncil.org.uk
Agape Wellbeing,https://www.agapewellbeing.com,info@agapewellbeing.com
Agerume Development and Disaster Relief Initiative,http://www.addri.org,info@addri.org
AHMED WELFARE FOUNDATION,https://theahmedwelfarefoundation.org/,ahmedwelfarefoundationuk@gmail.com
Aid & Abet,http://www.aidnabet.org/,admin@aidnabet.org
Aid For Education,http://www.aidforeducation.org,info@aidforeducation.co.uk
Airdrie and Coatbridge Amateur Operatic Society,http://www.acaos.co.uk,info@acaos.co.uk
Airdrie Community Club,https://www.airdriecc.org/,stuartmcfarlane@hotmail.co.uk
Airdrie Harriers,http://www.airdrieharriers.org,vicechair@airdrieharriers.org
Al-Amin Scotland,http://www.al-amin.org.uk,info@al-amin.org.uk
Alcohol And Drugs Support South West Scotland,http://www.adssws.co.uk,enquiries@adssws.co.uk
Alcohol Focus Scotland,http://www.alcohol-focus-scotland.org.uk,enquiries@alcohol-focus-scotland.org.uk
"Alex, The Leukodystrophy Charity",https://www.alextlc.org/,info@alextlc.org
Alexandra Rose Charity,http://www.alexandrarose.org.uk,info@alexandrarose.org.uk
Alford and Donside Heritage Association,http://www.alfordheritagemuseum.com,info@alfordheritagemuseum.com
ALK Positive Lung Cancer (UK),http://www.alkpositive.org.uk,hello@alkpositive.org.uk
All Shapes And Sizes,http://www.asascharity.com,info@asascharity.com
All Strong Scotland,http://www.scotlandallstrong.com,andy@scotlandallstrong.com
Allegro,https://allegromusical.co.uk/,info@allegromusical.co.uk
Alloa Musical Players,http://www.alloamusicalplayers.org,8eb368c655b84e029ed79ad7a5c1718e@sentry.wixpress.com
Alopecia UK,http://www.alopecia.org.uk,info@alopecia.org.uk
Alternatives West Dunbartonshire Cds,http://www.alternativeswd.org,info@alternativeswd.org
AMOS Pet Scotland,https://amospet.org.uk/,amospetuk@gmail.com
Amphibian and Reptile Conservation Trust,http://www.arc-trust.org,enquiries@arc-trust.org
Amplifying Voices,https://amplifyingvoices.uk,your.email@example.com
Amputee Football Association Scotland,http://www.amputeefootballscotland.co.uk,ashley@amputeefootballscotland.co.uk
An Comunn Gaidhealach,http://www.ancomunn.co.uk,info@ancomunn.co.uk
Ananda Animal Sanctuary,http://www.anandaanimalsanctuary.com,info@anandaanimalsanctuary.com
Ando Glaso,http://www.andoglaso.org,605a7baede844d278b89dc95ae0a9123@sentry-next.wixpress.com
Andrew Wommack Ministries - Europe,http://www.awme.net,enquiries@awme.net
Angus Creatives,http://anguscreatives.co.uk,anguscreatives@gmail.com
Angus Independent Advocacy,http://www.angusindadvocacy.org,enquiries@angusindadvocacy.org
Angus Rural Partnership,http://www.angusruralpartnership.org.uk,enquiries@angusruralpartnership.org.uk
Angus Training Group Ltd,http://www.atgltd.co.uk,enquiries@atgltd.co.uk
Angus Voice,http://www.angusvoice.co.uk,sapphire@angusvoice.co.uk
Animal Behaviour Training Council (CIO),http://www.abtcouncil.org.uk,info@abtc.org.uk
Animal Concern Ltd,http://www.animalconcern.org,user@domain.com
Annexe Communities,http://www.annexecommunities.org.uk,info@annexecommunities.org.uk
Antenatal Results & Choices,http://www.arc-uk.org,info@arc-uk.org
Antonine Sports Centre,http://www.antoninesportscentre.co.uk,info@antoninesportscentre.co.uk
ANYiSO,http://www.anyiso.co.uk,info@anyiso.org.uk
AR26,http://ar26.org.uk,info@ar26.org.uk
ARCADIA SCULPTURE CENTRE,http://www.arcadiasculpture.org,user@domain.com
Archaeology Scotland,http://www.archaeologyscotland.org.uk,info@archaeologyscotland.org.uk
Archiestown Village Council,http://www.archiestown.com/,treasureravc@gmail.com
Arctic Convoy Museum,http://www.theracmproject.org,info@arcticconvoymuseum.org
Argyll and the Isles Coast and Countryside Trust,http://www.act-now.org.uk,info@act-now.org.uk
Argyll Couple Counselling,http://www.argyllcouplecounselling.org,info@argyllcouplecounselling.org
Argyll Fisheries Trust,http://www.argyllfisheriestrust.co.uk,info@argyllfisheriestrust.co.uk
Argyll FM Limited,https://argyllfm.com,info@argyllfm.com
Argyll Wellbeing Hub,http://argyllwellbeinghub.com,info@argyllwellbeinghub.com
Arkaig Community Forest,https://www.arkaig.org,info@arkaig.org
Army Families Federation,http://www.aff.org.uk,contact@aff.org.uk
Arniston Rangers Youth Football Club,http://www.arnistonrangersyfc.co.uk/,9a65e97ebe8141fca0c4fd686f70996b@sentry.wixpress.com
Arran Community and Voluntary Service,http://www.arrancvs.org.uk,info@arrancvs.org.uk
Arran Dogs,http://arrandogs.org.uk,arrandogs@outlook.com
Arran Geopark,http://www.arran-geopark.org.uk,info@arran-geopark.org.uk
Arran Mountain Rescue Team (SCIO),http://www.arranmountainrescue.com,arranmrt@icloud.com
Arran Society Of Glasgow,http://arransocietyofglasgow.org/,secretary@arransocietyofglasgow.org
Arrochar Mountain Rescue Team,http://www.arrocharmrt.org.uk,info@arrocharmrt.org.uk
Artists Spaces,http://www.outerspaces.org,info@outerspaces.org
Asia for Animals Coalition,https://www.asiaforanimals.com/,8eb368c655b84e029ed79ad7a5c1718e@sentry.wixpress.com
Asian Concern,http://www.AsianConcern.com,info@asianconcern.com
Association des Parents Francophones,http://www.ecolebuissonniere.org.uk/,bonjour@ecolebuissonniere.org.uk
"Association for Spinal Injury Research, Rehabilitation & Reintegration",http://www.aspire.org.uk,info@aspire.org.uk
Association for the Study of Animal Behaviour Limited,https://www.asab.org,webeditor@asab.org
Association of Air Ambulances (Charity) Ltd,http://www.airambulancesuk.org,info@airambulancesuk.org
Association of NHS Charities,http://www.nhscharitiestogether.co.uk,info@anhsc.org.uk
Assynt Mountain Rescue Team,http://www.assyntmountainrescue.co.uk,eamleader@assyntmountainrescue.co.uk
Asthma and Lung UK,http://www.asthmaandlung.org.uk,info@asthmaandlung.org.uk
A-Team Productions,http://www.ateamproductions.co.uk,hello@ateamproductions.co.uk
Athletics Trust Scotland,https://athleticstrustscotland.org.uk/,info@athleticstrustscotland.org.uk
Auchenblae & District Community Association,http://theblae.org,auchenblaecommunityassociation@gmail.com
Auchencairn Climate Transition SCIO,http://www.act.scot,actbefore2025@gmail.com
Auchterarder Adult Education Association,http://www.aaea.org.uk,secretary@aaea.org.uk
Auchterarder Community Sports and Recreation,https://www.acsr.org.uk/,info@acsr.org.uk
Aultbea Hall,http://www.aultbeahall.org.uk,aultbeahall2021@gmail.com
Aurora Foundation for People Abused in Childhood Limited,http://www.aurorafoundation.org.uk,8eb368c655b84e029ed79ad7a5c1718e@sentry.wixpress.com
